Wallet,Name,Twitter,Pledged Tokens
0xC7cb454CEFD11A346C5307D4865b5bB687aaad46,51991,51991eth,1000000
0x18A428CE0c31584a21CF8ceFDb8849d8013E1994,!Xabbu,0x_5_3,1000000
0xd15d229Fd52240F8030Fa4694294189ED1DfBE4d,#1 crush,num1crush,1000000
0x071642731357694B43567E961C6B99647962A8c7,0009,_0_0_0_9_,1000000
0x1F97C3e6Eae10e5A6D0897f3f26b055693b4Cf18,0x20,cryptospaces1,1000000
0x1E815a8188F1b84564577C1c998f7E6B4706B752,0xAllen,0xAllen_,1000000
0x2ab6a645a9c95217486610aef128647dc6711ac5,0xartur,0xartur,1000000
0xD34788e2F96758972C27678725808E50eF843f01,0xdelo,0xdelo,1000000
0xa76b00d8fE77807edC51a87DBCEAbb623701d9D7,0xEND,0xend,1000000
0x066b96c7d6bb8e969bde0782485ecb5403f41710,0xsalv,0xsalv,1000000
0xBEf71a17d8813481F1Cb4DE4d02Ccfc3a27E43A5,0xThinkers,xthinkers,1000000
0x6cB25D5434B95A702E4b82b354703E9a3711F080,10x,10x_it,1000000
0xe73EbE7F5D5DfA7dEdbf419a4658dF486108fcD9,1ashtray,cryptoscraft,1000000
0x465FF8830Cc567452cCb449f03D120D17E8EDF5b,4chanintern,4chanintern,1000000
0xdD7C9B8f06A6290404573AD3276D6b43D6261AEE,7elevenintern,7elevenintern,1000000
0x69b02E16F3818D6211071E08E19f42944B90D1E7,7lcm7,7lcm7,1000000
0xb74893598C88AEa4ba778F1A4EdEFcbD998496e9,7YYY1,Adilose_qr,1000000
0x769cfDba1E0B6d607Dab8ffCbe685Ba1A142cD05,8-Bit,0x8BitArt,1000000
0x8dCbfe2B5A7c9b6A7a3DE0F69341A966A729c7A4,A. Moret,installationmagazine,1000000
0x2Cfa2aD0c4a8dAe1248C35096F812beb014A514A,Aaron Blaisdell,aaronblaisdell,1000000
0xb965603c7D99ce1dACd91EecB8CA9C0D061b4c60,abamba,abamba,1000000
0x7858F91c6752400F2234584A25006335bE6D09Bb,Abfro,abfr0x,1000000
0xBE18b77B7045d42505452A223a4089c7A257c093,Abrahanny,Abrahannyr,1000000
0xe21e1768dafdB86dBA2C93e9B34bdC9f13464a69,abroegger8,alexandery_b,1000000
0x1F41d663B8428986F0d0a2147b903C37419de265,Ace One Design,aceonedesign,1000000
0x708aC82707b1b8DdCc0Bb8C50c75c38e786CBeCe,achimh,achimh,1000000
0x10C43F2f8a9436106E91960592A9723378C0A0ab,Aerson,aersonjr,1000000
0x241b0BcC73eeDA701Dafab609793506B355b5cc6,Ahan,Alkan_786,1000000
0xA40d16c95D20b464088C23b76C81Da1356254EF2,AIMAC,Aimac111,1000000
0xccC96f5B11ad946D34075B998c21D3A4f504274b,AJ,aj_degen,1000000
0x30A8E38FBd9e778ddAc2a4a02cd8129bb50BbA8A,AL,AYEL808,1000000
0x70eCA2140A31A97343dbA5434FD735D3377f3D95,Aleks,aleksinweb3,1000000
0xfBeB914c3C9B7a193C92De130A18716097478332,Aleks_,FirstNFT,1000000
0xd6406c9838E1423d14A6dfc1bFD6A1c307608DA3,Alex,0xalexjbb,1000000
0x4Be539C024A68Ca4479e6C67BfaBdBda94926Eba,Alex V.,Medolino007,1000000
0xc5315628e03ce0d6736867698543fE0d30F871D6,Alex_hunter20,alex_hunter20,1000000
0x0878571fBc59d83D2067CD84aCa03D484d46847a,alien420,alien4204204201,1000000
0x7D03e3E2C833018eE3a8cFcf3876296a2186696C,Allant,meesternft,1000000
0x281b939E781b7C7ddCf9d2Dc3C9C90825ff10A81,AlphaSweep,alphasweep,1000000
0x91c8821DE09150168eD54FC9882032a6c7cA2719,Altisimo,altisssssimo,1000000
0x8c1F8159C5b185a934a201Eb0F61Acc98afA0257,ALX_STH,ALX_STH,1000000
0x2fc41bcf363b80b1a98ac14a8e8bc091bd8c2366,Ambro,_Ambone_,1000000
0xF08889f3b4f5A56482Fc295db2fFC7301F888cA0,AMcCarroll,alexmccarroll,1000000
0xCe0135C1BBCe202075D03e51044a56B44aA1Ed35,Anasi,chistyakovva instagram,1000000
0x0FC1c3004c16E24195279Fbca20a49592E7018c2,ancosero,ancosero0x,1000000
0xc9b4E422Bc97DC073c917E2d01b9B3D3F269f467,Andi,a_berghammer,1000000
0x433fda9d0DDc52188Cfac0e4df7cda187CeaE902,andrew,_awhurst_,1000000
0xb5A5f243b3830E64F1d5C9EB1028664f881931f4,andrewagner,andrewagnereth,1000000
0x2569b43EEecC00B895ce14351d2Ef47dA7288930,AnglerPunk,anglerpunk,1000000
0x6694F5Cb8F80320024A9c141C7E3F8fc503cA362,anirveda,anirvedas,1000000
0x7cB9b23f78A4CFAFD3605eF19850030fB40A7475,Anna_allsaints,anna_timeorder,1000000
0x74368843eaf18052D10dDe4Dd143d5d64DD2515D,AnnaAlankara,anitax31. Instagram,1000000
0x88452bE7Bc0565E7953d6eBA1ce16F0D0A35cD4C,anon,anon_rip,1000000
0x74715e12d34706Dc93DF96D2D8e813fb06Af146A,Anon333,gamypto,1000000
0xb2454F13c40E75cE415897F255ef8a33c6C6F469,anontoshi,anontoshi,1000000
0x497056B9E7832eeAdb26C80724Eb79D7AD0ca77D,Anz,anzomez,1000000
0xB8d0bcefE39e41b95D4498b26BCd6B04C80462d4,apmike,ahmycoah,1000000
0xf83f152dA39990BD5B43AE4576B2af1445930a08,arab,Alexey659388,1000000
0x64770fb2B08481B7336A770013B9Dbc5FC1b6F69,aranthus,aranthus,1000000
0x668E961736454a2444ADB485340cB7F0844DDd3d,Ares,ares_gods,1000000
0x7170e4e7996682ee5e1a1548e179dda5600c2e5c,Arkaydeus,arkaydeus,1000000
0x0FB3fA40850C1E472B6eCED8FB10781763D42193,Arnold Toadzenegger,bobbyseitz,1000000
0x9F6ae0370d74f0e591C64cec4a8AE0d627817014,Arsonic,Ars0nic,1000000
0x239AeBeF9ADF577B90dd8882dE6F610CEbd34beE,Art,ArtKaroon9,1000000
0xEd498E75d471C3b874461a87Bb7146453CC8175A,Artem,Arvolear,1000000
0x4C9b3B18a54e59b23A75250425670E6a7467D225,Arthr,arthr,1000000
0x564Cd5E7D7E2dcFEDB7F186f39262bc60C93565f,Artysiq,artysiqsats,1000000
0x76065Eb77c71A820F7f6bde1bF5331c4914deb8a,Ash2Ash,ARavanmehr,1000000
0x42b5195bAc762518114638580631F3039b570126,Ashton Tekno,ashtontekno,1000000
0x1169ec1E84817a0989CBe398b43a430eB5396782,Astalgi,bowieisinspace,1000000
0xC4602676Af63AF3762a5701C279aE3CA4c09f087,astamcloud,astamcloud,1000000
0x37A4d5f691aE46BDEF3Aa3615332f0D446d3B686,ATS,ats_nft,1000000
0x1c21230D4A2E920d11655CC6AFE567eE38bFAcda,ausdemaus,ausdemaus,1000000
0x85667Fe20280ED627243DAf166555503Bed11779,avacrypt,avacrypt1,1000000
0x41DD1c6338e5b3cdF9Dc69e20DaD9834aE36A6D3,Aventurine,aventurine_eth,1000000
0xff0C998D921394D89c5649712422622E3172480C,awitize,0xAwitize,1000000
0x6D66A6Fe76dF6418136e9e6F7AF9fD7e76e52205,Axaos,axaos,1000000
0x73121840898f1c0369d633DDD8B3230211ed0C60,Ayrifik,AyriFik_,1000000
0xE90988f9B86e2658FED39069f535DDc0Ff0736c8,Azerty Betamax,azertybetamax,1000000
0x2d0DDb67B7D551aFa7c8FA4D31F86DA9cc947450,AzOgZ,azogzz,1000000
0xA03EbABDEa8F08D3C0Abe3916CF66D4FBF1aD683,b1337,b1337art,1000000
0xbC73b021c2B73cBe7fbd3aEE756202D4609f2906,Bageta,Kristofu_34,1000000
0x547a4eb481DEc372eBd6e9190a79c6dAB883290C,Baku,bakuartiste,1000000
0x6c931dEDCC09d6EC05f4F1B9FfdC5c81dd53Efa2,Balyan,mattlabart,1000000
0x850406d0b09867A22aeCBAddB7daf20EC20Bc750,Bankart,bankarteth,1000000
0xc9Ec8e13D94abCc1663c18B4Dd9902E7E83771C7,Banxbuw,elmopar,1000000
0xD0480eF4DCBB58498137c8243f7E5AE240A45C1b,Bash,X__BASH__X,1000000
0x72C575aFa7878Bc25A3548E5dC9D1758DB74FD54,bastiboii,bastiboii_eth,1000000
0xdC08FFE9a28836fE9948f82de6bF3E514F4232aA,bbdefender,bbdefender,1000000
0x293561E09aA81557B4A02e613ca5D58D79caeBfb,bclever,bclever_nft,1000000
0x4A85a46aEe0831C6D6aC2775542930c860A54695,Bdez808,web3bdez,1000000
0x131009DECd27dd045900d864A8a5635F15739639,Beardguy,Beardguy53,1000000
0x5179E27381a79dCBD2C5D0279af7eF1A8c46F854,beautiFool,Beauti_F00L,1000000
0xe19843E8eC8Ee6922731801Cba48E2dE6813963A,behold3r,0xbehold3r,1000000
0xe6Ba7CE1bBd7b811d891C2D4C09D7295bb96752c,Beholdingeye,BEH0LDINGEYE,1000000
0x63c9a867D704dF159bbBB88EeEe1609196b1995E,bejega,huno85,1000000
0x75C84C7B446cEBBb3830E3D64A042599b884C83a,Bennyxyz,bennyxyz123,1000000
0xE43b977928507733A00823117D1a804a4729168f,benzwong,benzwong,1000000
0x9af52329437360323D4794F6f75FAD4fE3b3599A,Bernie Straw,bernie_straw,1000000
0xeEba50E9F367CcA41dBB8aa6EF5CCcfdAC80A18B,Betaplux,betapluxx,1000000
0xFA1B867A9A2AD93F186eeF6E364dfa6548Ca8F43,bewise,dazzlercoin,1000000
0xD0c2D51620ae24763b6A1AfDEd3AcEfBf6e2fCa1,BiggiePoppins,BiggiePoppins,1000000
0xf86b8b8d3433de1514cb36eff3bd6ff8f707c2a2,BillyBob Burrito,imagine_sme,1000000
0xBCaE7cdbf72B59fAcf78FA0a8F4D4e367620df21,Birdie,Anonfriendsnft,1000000
0x2E1f844169015b8995B8606D568E6A7ed220D53f,bitcnoi,bitcnoi,1000000
0x87aad0e9f63163bd718e653bcc16ac1f10160a13,bitm00n,bitm00n1,1000000
0x41e37f8705487b20F89b4AAbF9F03A9AF1699c85,bitprop,cryptobitcoin88,1000000
0x130Ebf09F40B3F64b99F1313C2e4B5878852b684,Bjorn,bjornNFT,1000000
0x63fdeedf7d780f52cc3bbad669cfc2dc4dfb59e1,BK,barrett_koch,1000000
0x7153Cad53deB0D570453dCbc859c3FAE683cD277,blackmesa.eth,blackmesa_eth,1000000
0x8581aCdcaF078dB5c08De91278fFc06c9a8A003d,bLee,bLeethras,1000000
0x221e438E4A8Fc6569457bAe62CbCcDb8b5b02a93,blockades,blockpal12345,1000000
0x6B67623ff56c10d9dcFc2152425f90285fC74DDD,blockbird,_blockbird,1000000
0x5E410258a1e5E66a8dD9eDC583593a90505b0978,Blockchainhedge,blockchainhedge,1000000
0x09e557999346e9dDf77C74Ab449FF45370c69564,Blokculture,Blokculture,1000000
0x417E13EAB409330BE1cD28561Eb3fc86A384328D,Bluezo,BlueZoh,1000000
0x421aD3047314D555e4Ca99a49f0F4025796cfE51,bochbet,bochsubs,1000000
0x0D089502812C10A8d2d7c8a4BE39254B5425ADa4,Bogdan,Obi_The_Bull,1000000
0xEe9b3476b970e79BE3Bff57985d0D08752FD9480,BojangleGuy,BojangleGuy,1000000
0x7915e43086cd78be341df73726c0947b6334b978,bolt,boltsandtweets,1000000
0x9461c5330bc6b672f38DbAd5660EC3262b1Fb6BC,Bombi02,bombi021,1000000
0xa69bd5f132318a91faB0BCa7D001d2040534a4e4,Boona,boonaeth,1000000
0x947fF1d931Db1035282CBD45BBc7AA6B6A7825aA,BountyHunt3r,bountydeathbot,1000000
0x5ad7C04825C9E041551ACC5257Ce04328Fb11A8c,Brett and Butter,brettandbutter,1000000
0xdD54e6edaFfE9547E144c3ECcdaf7FacF1B0db84,Brianhc,Brianhc,1000000
0xC88E2C61c059d8adc7D4bc716562f336bA8FFb8e,Brickem,outfitfromabove,1000000
0xE7Eb221a9037D5Fd7eA857948A1E6bE6B21bd44a,Brynn Alise,brynnalisephoto,1000000
0x07A19194cbc1b4eB3fF040471A0ef86C6909e830,bthemouth,bthemouth,1000000
0x909d3C000baa83a64811eC0f41da55ec0EbB8A67,bubits,bubits_,1000000
0x8A89a851522B00AEad72eB69584D14fa616038a6,Bullish,bullishNFT,1000000
0x2cae0Ac9a7A7048516868AAd672C49AB632B38c8,Bundo,bundo_eth,1000000
0x84eb5c6a9bfe8b0EF8e4b6491C7d88cf929F070A,Burnsy,Wgmichad,1000000
0xd6d1Ef5351C3830A03b3FF83325DEffBe97317EF,burtonair,mikewunyc,1000000
0x079638f36deda50612924d7a940e5148fc649ef0,Cactus44,Cactus4477,1000000
0x98cBa78Ba705EfAA9C9D9015b5c95Ba1E2c3b2Cd,cadmonkey,cadmonkxy,1000000
0xf74Bb54823E60604d7e961444A4bEF4Cecc67c97,CakeProphet,CakeProphet,1000000
0x51132CE68A3D3e4ef6D031403E552F100A0bE86A,Calderfunk,Calderfunk,1000000
0x413d825fd9df5c6a02a9558a75287c70046fe778,CanIBeefYourTaco,pimentopacking,1000000
0xe5dB01c9D588EDE7C9939753fb877Ebe296Ba529,Capo,CryptoCap97,1000000
0xA12579ABe4c3756b2F8a183BBA6c5C32bebDa494,Carcharodon,punk6482,1000000
0xEbD1d69a90D46E63bA2E2e09c61f6B37A4D07c79,Carisne,carisneeth,1000000
0xF5BF73e0aF4aA9F34e42314F75EfA73cF2408E83,cash2me,Cashdavid5533,1000000
0xc53bBe7AB8198349Bd2107B8Bf0F15411Fd53dc2,catalina,catalinaarangoc,1000000
0x8433058e14772c81235077E744Dde09514f1BfA0,Cav,cav_dc,1000000
0xA2B44F81744c91d24be05236e4f065481D4Cbb3a,CED,cedssim,1000000
0x09C52C99e701304332B5998227f07D2648e8a72c,chagozzino,chagozzino,1000000
0xdD20C07E58EA116d578182f27C144Def1e318050,Charlie,ogallanoby,1000000
0xDdFd836f7c9e42055b1F6CEB005fEE4C7882f161,cheesebiz,cheesebiz,1000000
0xD08786736Bde9dd87A1Bd0c0c313Fe544BCCdb71,Chenzyl,namch3n,1000000
0xcEe8eF3a9773d2aA6429A8b6d899969099B1fd98,CHEO,_xCHEOx_,1000000
